soe,date,arrivals,arrivals_male,arrivals_female
Johor,2020-01-01,1621595,905601,715994
Kedah,2020-01-01,85071,35097,49974
Kelantan,2020-01-01,40002,21170,18832
Melaka,2020-01-01,6015,2813,3202
Negeri Sembilan,2020-01-01,3398,2184,1214
Pahang,2020-01-01,1068,550,518
Perak,2020-01-01,21169,10042,11127
Perlis,2020-01-01,52560,30518,22042
Pulau Pinang,2020-01-01,66139,30241,35898
Sabah,2020-01-01,64829,29285,35544
Sarawak,2020-01-01,140162,80142,60020
Selangor,2020-01-01,817095,448654,368441
Terengganu,2020-01-01,0,0,0
W.P. Labuan,2020-01-01,3950,2526,1424
Johor,2020-02-01,1093546,671718,421828
Kedah,2020-02-01,64428,25646,38782
Kelantan,2020-02-01,39680,21932,17748
Melaka,2020-02-01,3236,1502,1734
Negeri Sembilan,2020-02-01,3259,2150,1109
Pahang,2020-02-01,449,279,170
Perak,2020-02-01,15691,7469,8222
Perlis,2020-02-01,45831,26593,19238
Pulau Pinang,2020-02-01,46197,21990,24207
Sabah,2020-02-01,30157,14245,15912
Sarawak,2020-02-01,100480,60537,39943
Selangor,2020-02-01,551924,330947,220977
Terengganu,2020-02-01,2,2,0
W.P. Labuan,2020-02-01,2442,1634,808
Johor,2020-03-01,669826,409015,260811
Kedah,2020-03-01,37180,16441,20739
Kelantan,2020-03-01,20605,10704,9901
Melaka,2020-03-01,1040,500,540
Negeri Sembilan,2020-03-01,1694,1141,553
Pahang,2020-03-01,271,147,124
Perak,2020-03-01,9620,4511,5109
Perlis,2020-03-01,29630,17261,12369
Pulau Pinang,2020-03-01,23117,10935,12182
Sabah,2020-03-01,7280,3907,3373
Sarawak,2020-03-01,49502,30001,19501
Selangor,2020-03-01,214336,133427,80909
Terengganu,2020-03-01,26,25,1
W.P. Labuan,2020-03-01,912,627,285
Johor,2020-04-01,296,236,60
Kedah,2020-04-01,13837,13161,676
Kelantan,2020-04-01,22,5,17
Melaka,2020-04-01,0,0,0
Negeri Sembilan,2020-04-01,1,1,0
Pahang,2020-04-01,0,0,0
Perak,2020-04-01,2,0,2
Perlis,2020-04-01,2,0,2
Pulau Pinang,2020-04-01,11,10,1
Sabah,2020-04-01,18,2,16
Sarawak,2020-04-01,470,438,32
Selangor,2020-04-01,416,231,185
Terengganu,2020-04-01,0,0,0
W.P. Labuan,2020-04-01,2,2,0
Johor,2020-05-01,221,206,15
Kedah,2020-05-01,12924,12109,815
Kelantan,2020-05-01,18,6,12
Melaka,2020-05-01,0,0,0
Negeri Sembilan,2020-05-01,0,0,0
Pahang,2020-05-01,2,2,0
Perak,2020-05-01,0,0,0
Perlis,2020-05-01,24,3,21
Pulau Pinang,2020-05-01,1,1,0
Sabah,2020-05-01,19,11,8
Sarawak,2020-05-01,454,432,22
Selangor,2020-05-01,617,423,194
Terengganu,2020-05-01,0,0,0
W.P. Labuan,2020-05-01,2,2,0
Johor,2020-06-01,387,344,43
Kedah,2020-06-01,11743,11001,742
Kelantan,2020-06-01,21,3,18
Melaka,2020-06-01,0,0,0
Negeri Sembilan,2020-06-01,0,0,0
Pahang,2020-06-01,0,0,0
Perak,2020-06-01,5,2,3
Perlis,2020-06-01,3,0,3
Pulau Pinang,2020-06-01,18,4,14
Sabah,2020-06-01,33,6,27
Sarawak,2020-06-01,946,902,44
Selangor,2020-06-01,1238,835,403
Terengganu,2020-06-01,1,1,0
W.P. Labuan,2020-06-01,5,5,0
Johor,2020-07-01,811,686,125
Kedah,2020-07-01,10020,9349,671
Kelantan,2020-07-01,9,1,8
Melaka,2020-07-01,0,0,0
Negeri Sembilan,2020-07-01,0,0,0
Pahang,2020-07-01,0,0,0
Perak,2020-07-01,10,1,9
Perlis,2020-07-01,2564,2511,53
Pulau Pinang,2020-07-01,24,10,14
Sabah,2020-07-01,95,31,64
Sarawak,2020-07-01,1193,1105,88
Selangor,2020-07-01,5608,3905,1703
Terengganu,2020-07-01,0,0,0
W.P. Labuan,2020-07-01,11,8,3
Johor,2020-08-01,831,759,72
Kedah,2020-08-01,10339,9527,812
Kelantan,2020-08-01,3,1,2
Melaka,2020-08-01,0,0,0
Negeri Sembilan,2020-08-01,0,0,0
Pahang,2020-08-01,0,0,0
Perak,2020-08-01,4,3,1
Perlis,2020-08-01,4320,4195,125
Pulau Pinang,2020-08-01,36,22,14
Sabah,2020-08-01,37,18,19
Sarawak,2020-08-01,808,724,84
Selangor,2020-08-01,5845,3899,1946
Terengganu,2020-08-01,0,0,0
W.P. Labuan,2020-08-01,6,4,2
Johor,2020-09-01,1314,1196,118
Kedah,2020-09-01,9295,8594,701
Kelantan,2020-09-01,7,1,6
Melaka,2020-09-01,0,0,0
Negeri Sembilan,2020-09-01,0,0,0
Pahang,2020-09-01,1,1,0
Perak,2020-09-01,3,1,2
Perlis,2020-09-01,5202,5042,160
Pulau Pinang,2020-09-01,26,21,5
Sabah,2020-09-01,21,9,12
Sarawak,2020-09-01,848,754,94
Selangor,2020-09-01,5915,4187,1728
Terengganu,2020-09-01,0,0,0
W.P. Labuan,2020-09-01,10,8,2
Johor,2020-10-01,1154,1053,101
Kedah,2020-10-01,9606,8867,739
Kelantan,2020-10-01,1,0,1
Melaka,2020-10-01,2,1,1
Negeri Sembilan,2020-10-01,0,0,0
Pahang,2020-10-01,0,0,0
Perak,2020-10-01,5,2,3
Perlis,2020-10-01,5489,5275,214
Pulau Pinang,2020-10-01,66,46,20
Sabah,2020-10-01,2,2,0
Sarawak,2020-10-01,642,562,80
Selangor,2020-10-01,5777,4295,1482
Terengganu,2020-10-01,0,0,0
W.P. Labuan,2020-10-01,5,5,0
Johor,2020-11-01,1017,908,109
Kedah,2020-11-01,10592,9806,786
Kelantan,2020-11-01,5,2,3
Melaka,2020-11-01,0,0,0
Negeri Sembilan,2020-11-01,0,0,0
Pahang,2020-11-01,0,0,0
Perak,2020-11-01,15,7,8
Perlis,2020-11-01,6796,6467,329
Pulau Pinang,2020-11-01,98,68,30
Sabah,2020-11-01,5,4,1
Sarawak,2020-11-01,1025,963,62
Selangor,2020-11-01,5407,4101,1306
Terengganu,2020-11-01,0,0,0
