poe,date,arrivals,arrivals_male,arrivals_female
Bangunan Sultan Iskandar,2020-01-01,968359,561605,406754
Bangunan Sultan Iskandar,2020-02-01,720600,451208,269392
Bangunan Sultan Iskandar,2020-03-01,449425,277764,171661
Bangunan Sultan Iskandar,2020-04-01,177,152,25
Bangunan Sultan Iskandar,2020-05-01,148,137,11
Bangunan Sultan Iskandar,2020-06-01,199,179,20
Bangunan Sultan Iskandar,2020-07-01,329,269,60
Bangunan Sultan Iskandar,2020-08-01,485,439,46
Bangunan Sultan Iskandar,2020-09-01,758,684,74
Bangunan Sultan Iskandar,2020-10-01,782,702,80
Bangunan Sultan Iskandar,2020-11-01,616,558,58
Bangunan Sultan Iskandar,2020-12-01,559,488,71
Bangunan Sultan Iskandar,2021-01-01,393,348,45
Bangunan Sultan Iskandar,2021-02-01,332,284,48
Bangunan Sultan Iskandar,2021-03-01,413,368,45
Bangunan Sultan Iskandar,2021-04-01,302,269,33
Bangunan Sultan Iskandar,2021-05-01,177,160,17
Bangunan Sultan Iskandar,2021-06-01,52,39,13
Bangunan Sultan Iskandar,2021-07-01,104,80,24
Bangunan Sultan Iskandar,2021-08-01,84,64,20
Bangunan Sultan Iskandar,2021-09-01,109,92,17
Bangunan Sultan Iskandar,2021-10-01,200,165,35
Bangunan Sultan Iskandar,2021-11-01,288,202,86
Bangunan Sultan Iskandar,2021-12-01,2780,1546,1234
Bangunan Sultan Iskandar,2022-01-01,3465,2040,1425
Bangunan Sultan Iskandar,2022-02-01,2425,1427,998
Bangunan Sultan Iskandar,2022-03-01,7233,4024,3209
Bangunan Sultan Iskandar,2022-04-01,310984,195523,115461
Bangunan Sultan Iskandar,2022-05-01,487576,301154,186422
Bangunan Sultan Iskandar,2022-06-01,540638,319547,221091
Bangunan Sultan Iskandar,2022-07-01,681377,407318,274059
Bangunan Sultan Iskandar,2022-08-01,685203,407367,277836
Bangunan Sultan Iskandar,2022-09-01,705760,408990,296770
Bangunan Sultan Iskandar,2022-10-01,708965,410588,298377
Bangunan Sultan Iskandar,2022-11-01,735820,423995,311825
Bangunan Sultan Iskandar,2022-12-01,812808,445132,367676
Bangunan Sultan Iskandar,2023-01-01,753379,432889,320490
Bangunan Sultan Iskandar,2023-02-01,687041,402640,284401
Bangunan Sultan Iskandar,2023-03-01,784461,446810,337651
Bangunan Sultan Iskandar,2023-04-01,762581,436497,326084
Bangunan Sultan Iskandar,2023-05-01,795362,463157,332205
Bangunan Sultan Iskandar,2023-06-01,879538,491365,388173
Bangunan Sultan Iskandar,2023-07-01,959426,541878,417548
Bangunan Sultan Iskandar,2023-08-01,977271,559067,418204
Bangunan Sultan Iskandar,2023-09-01,1021527,574790,446737
Bangunan Sultan Iskandar,2023-10-01,1035435,591364,444071
Bangunan Sultan Iskandar,2023-11-01,965509,543125,422384
Batu Lintang,2020-01-01,1,1,0
Batu Lintang,2020-02-01,0,0,0
Batu Lintang,2020-03-01,0,0,0
Batu Lintang,2020-04-01,0,0,0
Batu Lintang,2020-05-01,0,0,0
