join_key,state,year,population
Johor|1970,Johor,1970,1325.6
Johor|1971,Johor,1971,1355.4
Johor|1972,Johor,1972,1385.3
Johor|1973,Johor,1973,1414.5
Johor|1974,Johor,1974,1444.4
Johor|1975,Johor,1975,1477.0
Johor|1976,Johor,1976,1508.4
Johor|1977,Johor,1977,1541.9
Johor|1978,Johor,1978,1573.4
Johor|1979,Johor,1979,1606.4
Johor|1980,Johor,1980,1646.2
Johor|1981,Johor,1981,1689.3
Johor|1982,Johor,1982,1734.6
Johor|1983,Johor,1983,1780.2
Johor|1984,Johor,1984,1825.8
Johor|1985,Johor,1985,1875.5
Johor|1986,Johor,1986,1926.5
Johor|1987,Johor,1987,1977.9
Johor|1988,Johor,1988,2031.0
Johor|1989,Johor,1989,2085.5
Johor|1990,Johor,1990,2139.6
Johor|1991,Johor,1991,2188.1
Johor|1992,Johor,1992,2249.1
Johor|1993,Johor,1993,2313.4
Johor|1994,Johor,1994,2378.1
Johor|1995,Johor,1995,2441.4
Johor|1996,Johor,1996,2503.9
Johor|1997,Johor,1997,2567.5
Johor|1998,Johor,1998,2631.7
Johor|1999,Johor,1999,2699.4
Johor|2000,Johor,2000,2762.5
Johor|2001,Johor,2001,2829.9
Johor|2002,Johor,2002,2893.6
Johor|2003,Johor,2003,2954.0
Johor|2004,Johor,2004,3014.6
Johor|2005,Johor,2005,3074.4
Johor|2006,Johor,2006,3134.4
Johor|2007,Johor,2007,3193.5
Johor|2008,Johor,2008,3252.3
Johor|2009,Johor,2009,3309.4
Johor|2010,Johor,2010,3362.9
Johor|2011,Johor,2011,3410.5
Johor|2012,Johor,2012,3450.4
Johor|2013,Johor,2013,3474.4
Johor|2014,Johor,2014,3559.8
Johor|2015,Johor,2015,3610.3
Johor|2016,Johor,2016,3651.8
Johor|2017,Johor,2017,3697.0
Johor|2018,Johor,2018,3749.4
Johor|2019,Johor,2019,3761.2
Johor|2020,Johor,2020,4009.7
Johor|2021,Johor,2021,4020.0
Johor|2022,Johor,2022,4028.3
Johor|2023,Johor,2023,4107.2
Johor|2024,Johor,2024,4184.4
Johor|2025,Johor,2025,4205.9
