ym,soe,arrivals,rank
2020-01-01,Johor,1621595,1
2020-01-01,Selangor,817095,2
2020-01-01,Sarawak,140162,3
2020-01-01,Kedah,85071,4
2020-01-01,Pulau Pinang,66139,5
2020-01-01,Sabah,64829,6
2020-01-01,Perlis,52560,7
2020-01-01,Kelantan,40002,8
2020-01-01,Perak,21169,9
2020-01-01,Melaka,6015,10
2020-01-01,W.P. Labuan,3950,11
2020-01-01,Negeri Sembilan,3398,12
2020-01-01,Pahang,1068,13
2020-01-01,Terengganu,0,14
2020-02-01,Johor,1093546,1
2020-02-01,Selangor,551924,2
2020-02-01,Sarawak,100480,3
2020-02-01,Kedah,64428,4
2020-02-01,Pulau Pinang,46197,5
2020-02-01,Perlis,45831,6
2020-02-01,Kelantan,39680,7
2020-02-01,Sabah,30157,8
2020-02-01,Perak,15691,9
2020-02-01,Negeri Sembilan,3259,10
2020-02-01,Melaka,3236,11
2020-02-01,W.P. Labuan,2442,12
2020-02-01,Pahang,449,13
2020-02-01,Terengganu,2,14
2020-03-01,Johor,669826,1
2020-03-01,Selangor,214336,2
2020-03-01,Sarawak,49502,3
2020-03-01,Kedah,37180,4
2020-03-01,Perlis,29630,5
2020-03-01,Pulau Pinang,23117,6
2020-03-01,Kelantan,20605,7
2020-03-01,Perak,9620,8
2020-03-01,Sabah,7280,9
2020-03-01,Negeri Sembilan,1694,10
2020-03-01,Melaka,1040,11
2020-03-01,W.P. Labuan,912,12
2020-03-01,Pahang,271,13
2020-03-01,Terengganu,26,14
2020-04-01,Kedah,13837,1
2020-04-01,Sarawak,470,2
2020-04-01,Selangor,416,3
2020-04-01,Johor,296,4
2020-04-01,Kelantan,22,5
2020-04-01,Sabah,18,6
2020-04-01,Pulau Pinang,11,7
2020-04-01,Perak,2,8
2020-04-01,Perlis,2,8
2020-04-01,W.P. Labuan,2,8
2020-04-01,Negeri Sembilan,1,9
2020-04-01,Melaka,0,10
2020-04-01,Pahang,0,10
2020-04-01,Terengganu,0,10
2020-05-01,Kedah,12924,1
2020-05-01,Selangor,617,2
2020-05-01,Sarawak,454,3
2020-05-01,Johor,221,4
2020-05-01,Perlis,24,5
2020-05-01,Sabah,19,6
2020-05-01,Kelantan,18,7
2020-05-01,Pahang,2,8
2020-05-01,W.P. Labuan,2,8
2020-05-01,Pulau Pinang,1,9
2020-05-01,Melaka,0,10
2020-05-01,Negeri Sembilan,0,10
2020-05-01,Perak,0,10
2020-05-01,Terengganu,0,10
2020-06-01,Kedah,11743,1
2020-06-01,Selangor,1238,2
2020-06-01,Sarawak,946,3
2020-06-01,Johor,387,4
2020-06-01,Sabah,33,5
2020-06-01,Kelantan,21,6
2020-06-01,Pulau Pinang,18,7
2020-06-01,Perak,5,8
2020-06-01,W.P. Labuan,5,8
2020-06-01,Perlis,3,9
