join_key,state,year,gdp_p5
Johor|2015,Johor,2015,53058.447
Johor|2016,Johor,2016,56266.132
Johor|2017,Johor,2017,59999.052
Johor|2018,Johor,2018,64401.807
Johor|2019,Johor,2019,68576.722
Johor|2020,Johor,2020,66406.166
Johor|2021,Johor,2021,68360.034
Johor|2022,Johor,2022,75875.363
Johor|2023,Johor,2023,79960.534
Kedah|2015,Kedah,2015,21465.109
Kedah|2016,Kedah,2016,22603.916
Kedah|2017,Kedah,2017,23808.188
Kedah|2018,Kedah,2018,25104.159
Kedah|2019,Kedah,2019,26326.519
Kedah|2020,Kedah,2020,25433.746
Kedah|2021,Kedah,2021,25925.347
Kedah|2022,Kedah,2022,27992.38
Kedah|2023,Kedah,2023,29115.645
Kelantan|2015,Kelantan,2015,14454.747
Kelantan|2016,Kelantan,2016,15158.95
Kelantan|2017,Kelantan,2017,15899.029
Kelantan|2018,Kelantan,2018,16721.126
Kelantan|2019,Kelantan,2019,17535.366
Kelantan|2020,Kelantan,2020,17374.192
Kelantan|2021,Kelantan,2021,17866.211
Kelantan|2022,Kelantan,2022,19077.743
Kelantan|2023,Kelantan,2023,19799.217
Melaka|2015,Melaka,2015,16810.973
Melaka|2016,Melaka,2016,17655.431
Melaka|2017,Melaka,2017,18613.275
Melaka|2018,Melaka,2018,19730.706
Melaka|2019,Melaka,2019,20917.737
Melaka|2020,Melaka,2020,19969.693
Melaka|2021,Melaka,2021,20508.12
Melaka|2022,Melaka,2022,23058.978
Melaka|2023,Melaka,2023,24017.86
Negeri Sembilan|2015,Negeri Sembilan,2015,18950.586
Negeri Sembilan|2016,Negeri Sembilan,2016,19975.95
Negeri Sembilan|2017,Negeri Sembilan,2017,20915.752
Negeri Sembilan|2018,Negeri Sembilan,2018,22126.197
Negeri Sembilan|2019,Negeri Sembilan,2019,24037.373
Negeri Sembilan|2020,Negeri Sembilan,2020,23822.068
Negeri Sembilan|2021,Negeri Sembilan,2021,24359.904
Negeri Sembilan|2022,Negeri Sembilan,2022,26255.402
Negeri Sembilan|2023,Negeri Sembilan,2023,27435.109
Pahang|2015,Pahang,2015,23884.728
Pahang|2016,Pahang,2016,25173.04
Pahang|2017,Pahang,2017,26719.548
Pahang|2018,Pahang,2018,28453.955
Pahang|2019,Pahang,2019,30217.041
Pahang|2020,Pahang,2020,27597.184
Pahang|2021,Pahang,2021,27285.399
Pahang|2022,Pahang,2022,31906.849
Pahang|2023,Pahang,2023,33833.324
Perak|2015,Perak,2015,38627.926
Perak|2016,Perak,2016,40762.08
Perak|2017,Perak,2017,43027.708
Perak|2018,Perak,2018,45910.8
Perak|2019,Perak,2019,47970.594
Perak|2020,Perak,2020,46136.819
Perak|2021,Perak,2021,47322.899
Perak|2022,Perak,2022,50816.522
Perak|2023,Perak,2023,52345.472
Perlis|2015,Perlis,2015,3414.264
Perlis|2016,Perlis,2016,3578.896
Perlis|2017,Perlis,2017,3722.87
Perlis|2018,Perlis,2018,3881.139
Perlis|2019,Perlis,2019,4074.923
Perlis|2020,Perlis,2020,4032.247
Perlis|2021,Perlis,2021,4119.515
Perlis|2022,Perlis,2022,4350.08
Perlis|2023,Perlis,2023,4451.576
Pulau Pinang|2015,Pulau Pinang,2015,38917.261
Pulau Pinang|2016,Pulau Pinang,2016,41166.781
Pulau Pinang|2017,Pulau Pinang,2017,43458.075
Pulau Pinang|2018,Pulau Pinang,2018,46120.484
Pulau Pinang|2019,Pulau Pinang,2019,48645.481
Pulau Pinang|2020,Pulau Pinang,2020,45978.568
Pulau Pinang|2021,Pulau Pinang,2021,47079.905
Pulau Pinang|2022,Pulau Pinang,2022,52490.218
Pulau Pinang|2023,Pulau Pinang,2023,55657.576
Sabah|2015,Sabah,2015,31754.571
Sabah|2016,Sabah,2016,33574.808
Sabah|2017,Sabah,2017,35433.648
Sabah|2018,Sabah,2018,37423.047
Sabah|2019,Sabah,2019,39428.467
Sabah|2020,Sabah,2020,36597.415
Sabah|2021,Sabah,2021,37368.739
Sabah|2022,Sabah,2022,40544.43
Sabah|2023,Sabah,2023,42375.969
Sarawak|2015,Sarawak,2015,38369.702
Sarawak|2016,Sarawak,2016,40981.962
Sarawak|2017,Sarawak,2017,43541.213
Sarawak|2018,Sarawak,2018,46312.482
Sarawak|2019,Sarawak,2019,48761.022
Sarawak|2020,Sarawak,2020,46160.302
Sarawak|2021,Sarawak,2021,47314.523
Sarawak|2022,Sarawak,2022,51732.671
Sarawak|2023,Sarawak,2023,54543.192
Selangor|2015,Selangor,2015,323718.842
Selangor|2016,Selangor,2016,342611.951
Selangor|2017,Selangor,2017,366213.492
Selangor|2018,Selangor,2018,393795.847
Selangor|2019,Selangor,2019,419678.739
Selangor|2020,Selangor,2020,394331.604
